Ⴁ	b AL
აბსურდული	ɑ AJ b AL s AG u AK r BA d AH u AK l AC i AJ
აბსურდულობა	ɑ AJ b AL s AG u AK r BA d AH u AK l AC ɔ AK b AL ɑ AJ
აბულაშვილი	ɑ AJ b AL u AK l AC ɑ AJ ʃ AG v BE i AJ l AC i AJ
აბურძგნილი	ɑ AJ b AL u AK r BA d AH z AG ɡ BD n AE i AJ l AC i AJ
აბუსერიძე	ɑ AJ b AL u AK s AG ɛ AJ r BA i AJ d AH z AG ɛ AJ
აბშილავა	ɑ AJ b AL ʃ AG i AJ l AC ɑ AJ v BE ɑ AJ
აბჯარი	ɑ AJ b AL d AH ʒ AG ɑ AJ r BA i AJ
აგავა	ɑ AJ ɡ BD ɑ AJ v BE ɑ AJ
აგარა	ɑ AJ ɡ BD ɑ AJ r BA ɑ AJ
აგბობს	ɑ AJ ɡ BD b AL ɔ AK b AL s AG
აგდება	ɑ AJ ɡ BD d AH ɛ AJ b AL ɑ AJ
აგდებს	ɑ AJ ɡ BD d AH ɛ AJ b AL s AG
აგდებულად	ɑ AJ ɡ BD d AH ɛ AJ b AL u AK l AC ɑ AJ d AH
აგდებული	ɑ AJ ɡ BD d AH ɛ AJ b AL u AK l AC i AJ
აგება	ɑ AJ ɡ BD ɛ AJ b AL ɑ AJ
აგებინებს	ɑ AJ ɡ BD ɛ AJ b AL i AJ n AE ɛ AJ b AL s AG
აგებს	ɑ AJ ɡ BD ɛ AJ b AL s AG
აგეგმვა	ɑ AJ ɡ BD ɛ AJ ɡ BD m AD v BE ɑ AJ
აგენტად	ɑ AJ ɡ BD ɛ AJ n AE tʼ BB ɑ AJ d AH
აგენტი	ɑ AJ ɡ BD ɛ AJ n AE tʼ BB i AJ
აგენტით	ɑ AJ ɡ BD ɛ AJ n AE tʼ BB i AJ tʰ AI
აგენტის	ɑ AJ ɡ BD ɛ AJ n AE tʼ BB i AJ s AG
აგენტმა	ɑ AJ ɡ BD ɛ AJ n AE tʼ BB m AD ɑ AJ
აგენტო	ɑ AJ ɡ BD ɛ AJ n AE tʼ BB ɔ AK
აგენტს	ɑ AJ ɡ BD ɛ AJ n AE tʼ BB s AG
აგენტურა	ɑ AJ ɡ BD ɛ AJ n AE tʼ BB u AK r BA ɑ AJ
აგვირგვინებს	ɑ AJ ɡ BD v BE i AJ r BA ɡ BD v BE i AJ n AE ɛ AJ b AL s AG
აგვისტო	ɑ AJ ɡ BD v BE i AJ s AG tʼ BB ɔ AK
აგვისტოდ	ɑ AJ ɡ BD v BE i AJ s AG tʼ BB ɔ AK d AH
აგვისტოთი	ɑ AJ ɡ BD v BE i AJ s AG tʼ BB ɔ AK tʰ AI i AJ
აგვისტომ	ɑ AJ ɡ BD v BE i AJ s AG tʼ BB ɔ AK m AD
აგვისტოს	ɑ AJ ɡ BD v BE i AJ s AG tʼ BB ɔ AK s AG
აგზნებადობა	ɑ AJ ɡ BD z AG n AE ɛ AJ b AL ɑ AJ d AH ɔ AK b AL ɑ AJ
აგზნებულად	ɑ AJ ɡ BD z AG n AE ɛ AJ b AL u AK l AC ɑ AJ d AH
აგიდელი	ɑ AJ ɡ BD i AJ d AH ɛ AJ l AC i AJ
აგიზგიზება	ɑ AJ ɡ BD i AJ z AG ɡ BD i AJ z AG ɛ AJ b AL ɑ AJ
აგიზგიზებული	ɑ AJ ɡ BD i AJ z AG ɡ BD i AJ z AG ɛ AJ b AL u AK l AC i AJ
აგინებს	ɑ AJ ɡ BD i AJ n AE ɛ AJ b AL s AG
აგიტატორი	ɑ AJ ɡ BD i AJ tʼ BB ɑ AJ tʼ BB ɔ AK r BA i AJ
აგლომერაცია	ɑ AJ ɡ BD l AC ɔ AK m AD ɛ AJ r BA ɑ AJ t AH s AG i AJ ɑ AJ
აგნებს	ɑ AJ ɡ BD n AE ɛ AJ b AL s AG
აგნოსტიკური	ɑ AJ ɡ BD n AE ɔ AK s AG tʼ BB i AJ kʼ AM u AK r BA i AJ
აგნოსტიციზმი	ɑ AJ ɡ BD n AE ɔ AK s AG tʼ BB i AJ t AH s AG i AJ z AG m AD i AJ
აგონდება	ɑ AJ ɡ BD ɔ AK n AE d AH ɛ AJ b AL ɑ AJ
აგონია	ɑ AJ ɡ BD ɔ AK n AE i AJ ɑ AJ
აგორებს	ɑ AJ ɡ BD ɔ AK r BA ɛ AJ b AL s AG
აგრეთვე	ɑ AJ ɡ BD r BA ɛ AJ tʰ AI v BE ɛ AJ
აგრესიულად	ɑ AJ ɡ BD r BA ɛ AJ s AG i AJ u AK l AC ɑ AJ d AH
აგრესიული	ɑ AJ ɡ BD r BA ɛ AJ s AG i AJ u AK l AC i AJ
აგრესიულობა	ɑ AJ ɡ BD r BA ɛ AJ s AG i AJ u AK l AC ɔ AK b AL ɑ AJ
აგრესორი	ɑ AJ ɡ BD r BA ɛ AJ s AG ɔ AK r BA i AJ
აგროვებს	ɑ AJ ɡ BD r BA ɔ AK v BE ɛ AJ b AL s AG
აგრძელებ	ɑ AJ ɡ BD r BA d AH z AG ɛ AJ l AC ɛ AJ b AL
აგრძელებს	ɑ AJ ɡ BD r BA d AH z AG ɛ AJ l AC ɛ AJ b AL s AG
აგულაშვილი	ɑ AJ ɡ BD u AK l AC ɑ AJ ʃ AG v BE i AJ l AC i AJ
აგური	ɑ AJ ɡ BD u AK r BA i AJ
ადათი	ɑ AJ d AH ɑ AJ tʰ AI i AJ
ადამაშვილი	ɑ AJ d AH ɑ AJ m AD ɑ AJ ʃ AG v BE i AJ l AC i AJ
ადამი	ɑ AJ d AH ɑ AJ m AD i AJ
ადამიანად	ɑ AJ d AH ɑ AJ m AD i AJ ɑ AJ n AE ɑ AJ d AH
ადამიანები	ɑ AJ d AH ɑ AJ m AD i AJ ɑ AJ n AE ɛ AJ b AL i AJ
ადამიანი	ɑ AJ d AH ɑ AJ m AD i AJ ɑ AJ n AE i AJ
ადამიანით	ɑ AJ d AH ɑ AJ m AD i AJ ɑ AJ n AE i AJ tʰ AI
ადამიანის	ɑ AJ d AH ɑ AJ m AD i AJ ɑ AJ n AE i AJ s AG
ადამიანმა	ɑ AJ d AH ɑ AJ m AD i AJ ɑ AJ n AE m AD ɑ AJ
ადამიანს	ɑ AJ d AH ɑ AJ m AD i AJ ɑ AJ n AE s AG
ადამიანურად	ɑ AJ d AH ɑ AJ m AD i AJ ɑ AJ n AE u AK r BA ɑ AJ d AH
ადამიანური	ɑ AJ d AH ɑ AJ m AD i AJ ɑ AJ n AE u AK r BA i AJ
ადაპტაცია	ɑ AJ d AH ɑ AJ pʼ AN tʼ BB ɑ AJ t AH s AG i AJ ɑ AJ
ადარებს	ɑ AJ d AH ɑ AJ r BA ɛ AJ b AL s AG
ადარნასე	ɑ AJ d AH ɑ AJ r BA n AE ɑ AJ s AG ɛ AJ
ადგენს	ɑ AJ d AH ɡ BD ɛ AJ n AE s AG
ადგილას	ɑ AJ d AH ɡ BD i AJ l AC ɑ AJ s AG
ადგილი	ɑ AJ d AH ɡ BD i AJ l AC i AJ
ადგილობრივად	ɑ AJ d AH ɡ BD i AJ l AC ɔ AK b AL r BA i AJ v BE ɑ AJ d AH
ადგილობრივი	ɑ AJ d AH ɡ BD i AJ l AC ɔ AK b AL r BA i AJ v BE i AJ
ადევნებს	ɑ AJ d AH ɛ AJ v BE n AE ɛ AJ b AL s AG
ადეიშვილი	ɑ AJ d AH ɛ AJ i AJ ʃ AG v BE i AJ l AC i AJ
ადეკვატურად	ɑ AJ d AH ɛ AJ kʼ AM v BE ɑ AJ tʼ BB u AK r BA ɑ AJ d AH
ადეკვატური	ɑ AJ d AH ɛ AJ kʼ AM v BE ɑ AJ tʼ BB u AK r BA i AJ
ადეკვატურობა	ɑ AJ d AH ɛ AJ kʼ AM v BE ɑ AJ tʼ BB u AK r BA ɔ AK b AL ɑ AJ
ადენოიდური	ɑ AJ d AH ɛ AJ n AE ɔ AK i AJ d AH u AK r BA i AJ
ადეპტი	ɑ AJ d AH ɛ AJ pʼ AN tʼ BB i AJ
ადვილად	ɑ AJ d AH v BE i AJ l AC ɑ AJ d AH
ადვილი	ɑ AJ d AH v BE i AJ l AC i AJ
ადიდებს	ɑ AJ d AH i AJ d AH ɛ AJ b AL s AG
ადის	ɑ AJ d AH i AJ s AG
ადიულტერი	ɑ AJ d AH i AJ u AK l AC tʼ BB ɛ AJ r BA i AJ
ადიუტანტი	ɑ AJ d AH i AJ u AK tʼ BB ɑ AJ n AE tʼ BB i AJ
ადმინისტრაციულად	ɑ AJ d AH m AD i AJ n AE i AJ s AG tʼ BB r BA ɑ AJ t AH s AG i AJ u AK l AC ɑ AJ d AH
ადმინისტრაციული	ɑ AJ d AH m AD i AJ n AE i AJ s AG tʼ BB r BA ɑ AJ t AH s AG i AJ u AK l AC i AJ
ადმირალი	ɑ AJ d AH m AD i AJ r BA ɑ AJ l AC i AJ
ადრე	ɑ AJ d AH r BA ɛ AJ
ადრენალინი	ɑ AJ d AH r BA ɛ AJ n AE ɑ AJ l AC i AJ n AE i AJ
ადრესატი	ɑ AJ d AH r BA ɛ AJ s AG ɑ AJ tʼ BB i AJ
ადრეული	ɑ AJ d AH r BA ɛ AJ u AK l AC i AJ
ადრიანე	ɑ AJ d AH r BA i AJ ɑ AJ n AE ɛ AJ
ადრიანი	ɑ AJ d AH r BA i AJ ɑ AJ n AE i AJ
ადუღება	ɑ AJ d AH u AK ɣ BC ɛ AJ b AL ɑ AJ
ადუღებს	ɑ AJ d AH u AK ɣ BC ɛ AJ b AL s AG
აეროდინამიკა	ɑ AJ ɛ AJ r BA ɔ AK d AH i AJ n AE ɑ AJ m AD i AJ kʼ AM ɑ AJ
აეროდრომი	ɑ AJ ɛ AJ r BA ɔ AK d AH r BA ɔ AK m AD i AJ
აეროზოლი	ɑ AJ ɛ AJ r BA ɔ AK z AG ɔ AK l AC i AJ
აეროპორტი	ɑ AJ ɛ AJ r BA ɔ AK pʼ AN ɔ AK r BA tʼ BB i AJ
აეშლება	ɑ AJ ɛ AJ ʃ AG l AC ɛ AJ b AL ɑ AJ
აეხსნა	ɑ AJ ɛ AJ x BC s AG n AE ɑ AJ
ავად	ɑ AJ v BE ɑ AJ d AH
ავადმყოფი	ɑ AJ v BE ɑ AJ d AH m AD qʼ AM ɔ AK pʰ AF i AJ
ავადმყოფობა	ɑ AJ v BE ɑ AJ d AH m AD qʼ AM ɔ AK pʰ AF ɔ AK b AL ɑ AJ
ავადმყოფობს	ɑ AJ v BE ɑ AJ d AH m AD qʼ AM ɔ AK pʰ AF ɔ AK b AL s AG
ავადმყოფურად	ɑ AJ v BE ɑ AJ d AH m AD qʼ AM ɔ AK pʰ AF u AK r BA ɑ AJ d AH
ავადმყოფური	ɑ AJ v BE ɑ AJ d AH m AD qʼ AM ɔ AK pʰ AF u AK r BA i AJ
ავაზა	ɑ AJ v BE ɑ AJ z AG ɑ AJ
ავაზანი	ɑ AJ v BE ɑ AJ z AG ɑ AJ n AE i AJ
ავალდებულებს	ɑ AJ v BE ɑ AJ l AC d AH ɛ AJ b AL u AK l AC ɛ AJ b AL s AG
ავანგარდი	ɑ AJ v BE ɑ AJ n AE ɡ BD ɑ AJ r BA d AH i AJ
ავანპოსტი	ɑ AJ v BE ɑ AJ n AE pʼ AN ɔ AK s AG tʼ BB i AJ
ავანტიურული	ɑ AJ v BE ɑ AJ n AE tʼ BB i AJ u AK r BA u AK l AC i AJ
ავარდება	ɑ AJ v BE ɑ AJ r BA d AH ɛ AJ b AL ɑ AJ
ავარია	ɑ AJ v BE ɑ AJ r BA i AJ ɑ AJ
ავბედითი	ɑ AJ v BE b AL ɛ AJ d AH i AJ tʰ AI i AJ
ავდარი	ɑ AJ v BE d AH ɑ AJ r BA i AJ
ავეჯი	ɑ AJ v BE ɛ AJ d AH ʒ AG i AJ
ავზი	ɑ AJ v BE z AG i AJ
ავზნიანი	ɑ AJ v BE z AG n AE i AJ ɑ AJ n AE i AJ
ავთვისებიანი	ɑ AJ v BE tʰ AI v BE i AJ s AG ɛ AJ b AL i AJ ɑ AJ n AE i AJ
ავი	ɑ AJ v BE i AJ
ავიაკომპანია	ɑ AJ v BE i AJ ɑ AJ kʼ AM ɔ AK m AD pʼ AN ɑ AJ n AE i AJ ɑ AJ
ავიატორი	ɑ AJ v BE i AJ ɑ AJ tʼ BB ɔ AK r BA i AJ
ავიაქარხანა	ɑ AJ v BE i AJ ɑ AJ kʰ AB ɑ AJ r BA x BC ɑ AJ n AE ɑ AJ
ავიაცია	ɑ AJ v BE i AJ ɑ AJ t AH s AG i AJ ɑ AJ
ავიახაზი	ɑ AJ v BE i AJ ɑ AJ x BC ɑ AJ z AG i AJ
ავინიონი	ɑ AJ v BE i AJ n AE i AJ ɔ AK n AE i AJ
ავისმომასწავებლად	ɑ AJ v BE i AJ s AG m AD ɔ AK m AD ɑ AJ s AG t AH sʼ BF ɑ AJ v BE ɛ AJ b AL l AC ɑ AJ d AH
ავიწროვებს	ɑ AJ v BE i AJ t AH sʼ BF r BA ɔ AK v BE ɛ AJ b AL s AG
ავკაცი	ɑ AJ v BE kʼ AM ɑ AJ t AH s AG i AJ
ავლაბარი	ɑ AJ v BE l AC ɑ AJ b AL ɑ AJ r BA i AJ
ავლებს	ɑ AJ v BE l AC ɛ AJ b AL s AG
ავოკადო	ɑ AJ v BE ɔ AK kʼ AM ɑ AJ d AH ɔ AK
ავრორა	ɑ AJ v BE r BA ɔ AK r BA ɑ AJ
ავრცელებს	ɑ AJ v BE r BA t AH s AG ɛ AJ l AC ɛ AJ b AL s AG
ავრცობს	ɑ AJ v BE r BA t AH s AG ɔ AK b AL s AG
ავსებული	ɑ AJ v BE s AG ɛ AJ b AL u AK l AC i AJ
ავსტრალია	ɑ AJ v BE s AG tʼ BB r BA ɑ AJ l AC i AJ ɑ AJ
ავსტრალიური	ɑ AJ v BE s AG tʼ BB r BA ɑ AJ l AC i AJ u AK r BA i AJ
ავსტრია	ɑ AJ v BE s AG tʼ BB r BA i AJ ɑ AJ
ავსტრიული	ɑ AJ v BE s AG tʼ BB r BA i AJ u AK l AC i AJ
ავტოგრაფი	ɑ AJ v BE tʼ BB ɔ AK ɡ BD r BA ɑ AJ pʰ AF i AJ
ავტოკალამი	ɑ AJ v BE tʼ BB ɔ AK kʼ AM ɑ AJ l AC ɑ AJ m AD i AJ
ავტოკოლონა	ɑ AJ v BE tʼ BB ɔ AK kʼ AM ɔ AK l AC ɔ AK n AE ɑ AJ
ავტოკრატია	ɑ AJ v BE tʼ BB ɔ AK kʼ AM r BA ɑ AJ tʼ BB i AJ ɑ AJ
ავტოკრატიული	ɑ AJ v BE tʼ BB ɔ AK kʼ AM r BA ɑ AJ tʼ BB i AJ u AK l AC i AJ
ავტომატი	ɑ AJ v BE tʼ BB ɔ AK m AD ɑ AJ tʼ BB i AJ
ავტომატურად	ɑ AJ v BE tʼ BB ɔ AK m AD ɑ AJ tʼ BB u AK r BA ɑ AJ d AH
ავტომატური	ɑ AJ v BE tʼ BB ɔ AK m AD ɑ AJ tʼ BB u AK r BA i AJ
ავტონომია	ɑ AJ v BE tʼ BB ɔ AK n AE ɔ AK m AD i AJ ɑ AJ
ავტონომიური	ɑ AJ v BE tʼ BB ɔ AK n AE ɔ AK m AD i AJ u AK r BA i AJ
ავტორად	ɑ AJ v BE tʼ BB ɔ AK r BA ɑ AJ d AH
ავტორები	ɑ AJ v BE tʼ BB ɔ AK r BA ɛ AJ b AL i AJ
ავტორი	ɑ AJ v BE tʼ BB ɔ AK r BA i AJ
ავტორით	ɑ AJ v BE tʼ BB ɔ AK r BA i AJ tʰ AI
ავტორის	ɑ AJ v BE tʼ BB ɔ AK r BA i AJ s AG
ავტორიტარული	ɑ AJ v BE tʼ BB ɔ AK r BA i AJ tʼ BB ɑ AJ r BA u AK l AC i AJ
ავტორიტეტულად	ɑ AJ v BE tʼ BB ɔ AK r BA i AJ tʼ BB ɛ AJ tʼ BB u AK l AC ɑ AJ d AH
ავტორმა	ɑ AJ v BE tʼ BB ɔ AK r BA m AD ɑ AJ
ავტორო	ɑ AJ v BE tʼ BB ɔ AK r BA ɔ AK
ავტორობა	ɑ AJ v BE tʼ BB ɔ AK r BA ɔ AK b AL ɑ AJ
ავტორს	ɑ AJ v BE tʼ BB ɔ AK r BA s AG
ავტოსადგომი	ɑ AJ v BE tʼ BB ɔ AK s AG ɑ AJ d AH ɡ BD ɔ AK m AD i AJ
ავტოსტოპად	ɑ AJ v BE tʼ BB ɔ AK s AG tʼ BB ɔ AK pʼ AN ɑ AJ d AH
ავტოსტოპი	ɑ AJ v BE tʼ BB ɔ AK s AG tʼ BB ɔ AK pʼ AN i AJ
ავტოსტოპით	ɑ AJ v BE tʼ BB ɔ AK s AG tʼ BB ɔ AK pʼ AN i AJ tʰ AI
ავტოსტოპის	ɑ AJ v BE tʼ BB ɔ AK s AG tʼ BB ɔ AK pʼ AN i AJ s AG
ავტოსტოპმა	ɑ AJ v BE tʼ BB ɔ AK s AG tʼ BB ɔ AK pʼ AN m AD ɑ AJ
ავტოსტოპს	ɑ AJ v BE tʼ BB ɔ AK s AG tʼ BB ɔ AK pʼ AN s AG
ავტოსტრადა	ɑ AJ v BE tʼ BB ɔ AK s AG tʼ BB r BA ɑ AJ d AH ɑ AJ
ავღანეთი	ɑ AJ v BE ɣ BC ɑ AJ n AE ɛ AJ tʰ AI i AJ
ავღანელი	ɑ AJ v BE ɣ BC ɑ AJ n AE ɛ AJ l AC i AJ
ავღანური	ɑ AJ v BE ɣ BC ɑ AJ n AE u AK r BA i AJ
ავყია	ɑ AJ v BE qʼ AM i AJ ɑ AJ
ავყიობა	ɑ AJ v BE qʼ AM i AJ ɔ AK b AL ɑ AJ
ავხორცად	ɑ AJ v BE x BC ɔ AK r BA t AH s AG ɑ AJ d AH
ავხორცი	ɑ AJ v BE x BC ɔ AK r BA t AH s AG i AJ
ავხორცობა	ɑ AJ v BE x BC ɔ AK r BA t AH s AG ɔ AK b AL ɑ AJ
ავხორცულად	ɑ AJ v BE x BC ɔ AK r BA t AH s AG u AK l AC ɑ AJ d AH
აზარტული	ɑ AJ z AG ɑ AJ r BA tʼ BB u AK l AC i AJ
აზბესტი	ɑ AJ z AG b AL ɛ AJ s AG tʼ BB i AJ
აზერბაიჯანი	ɑ AJ z AG ɛ AJ r BA b AL ɑ AJ i AJ d AH ʒ AG ɑ AJ n AE i AJ
აზვიადებს	ɑ AJ z AG v BE i AJ ɑ AJ d AH ɛ AJ b AL s AG
აზვირთებული	ɑ AJ z AG v BE i AJ r BA tʰ AI ɛ AJ b AL u AK l AC i AJ
აზიმუტი	ɑ AJ z AG i AJ m AD u AK tʼ BB i AJ
აზიური	ɑ AJ z AG i AJ u AK r BA i AJ
აზნაური	ɑ AJ z AG n AE ɑ AJ u AK r BA i AJ
აზოტი	ɑ AJ z AG ɔ AK tʼ BB i AJ
აზოტური	ɑ AJ z AG ɔ AK tʼ BB u AK r BA i AJ
აზრად	ɑ AJ z AG r BA ɑ AJ d AH
აზრი	ɑ AJ z AG r BA i AJ
აზრიანად	ɑ AJ z AG r BA i AJ ɑ AJ n AE ɑ AJ d AH
აზრიანი	ɑ AJ z AG r BA i AJ ɑ AJ n AE i AJ
აზრით	ɑ AJ z AG r BA i AJ tʰ AI
აზრის	ɑ AJ z AG r BA i AJ s AG
აზრმა	ɑ AJ z AG r BA m AD ɑ AJ
აზროვნება	ɑ AJ z AG r BA ɔ AK v BE n AE ɛ AJ b AL ɑ AJ
აზრს	ɑ AJ z AG r BA s AG
აზღუდი	ɑ AJ z AG ɣ BC u AK d AH i AJ
ათავისუფლებს	ɑ AJ tʰ AI ɑ AJ v BE i AJ s AG u AK pʰ AF l AC ɛ AJ b AL s AG
ათარიღებს	ɑ AJ tʰ AI ɑ AJ r BA i AJ ɣ BC ɛ AJ b AL s AG
ათასი	ɑ AJ tʰ AI ɑ AJ s AG i AJ
ათასწლეული	ɑ AJ tʰ AI ɑ AJ s AG t AH sʼ BF l AC ɛ AJ u AK l AC i AJ
ათასწლოვანი	ɑ AJ tʰ AI ɑ AJ s AG t AH sʼ BF l AC ɔ AK v BE ɑ AJ n AE i AJ
ათაშანგი	ɑ AJ tʰ AI ɑ AJ ʃ AG ɑ AJ n AE ɡ BD i AJ
ათბობს	ɑ AJ tʰ AI b AL ɔ AK b AL s AG
ათეიზმი	ɑ AJ tʰ AI ɛ AJ i AJ z AG m AD i AJ
ათეისტი	ɑ AJ tʰ AI ɛ AJ i AJ s AG tʼ BB i AJ
ათეისტური	ɑ AJ tʰ AI ɛ AJ i AJ s AG tʼ BB u AK r BA i AJ
ათენი	ɑ AJ tʰ AI ɛ AJ n AE i AJ
ათენური	ɑ AJ tʰ AI ɛ AJ n AE u AK r BA i AJ
ათესვა	ɑ AJ tʰ AI ɛ AJ s AG v BE ɑ AJ
ათესვინებს	ɑ AJ tʰ AI ɛ AJ s AG v BE i AJ n AE ɛ AJ b AL s AG
ათეული	ɑ AJ tʰ AI ɛ AJ u AK l AC i AJ
ათვალიერებს	ɑ AJ tʰ AI v BE ɑ AJ l AC i AJ ɛ AJ r BA ɛ AJ b AL s AG
ათი	ɑ AJ tʰ AI i AJ
ათლეტი	ɑ AJ tʰ AI l AC ɛ AJ tʼ BB i AJ
ათლეტიკა	ɑ AJ tʰ AI l AC ɛ AJ tʼ BB i AJ kʼ AM ɑ AJ
ათლეტის	ɑ AJ tʰ AI l AC ɛ AJ tʼ BB i AJ s AG
ათლეტური	ɑ AJ tʰ AI l AC ɛ AJ tʼ BB u AK r BA i AJ
ათმარცვლიანი	ɑ AJ tʰ AI m AD ɑ AJ r BA t AH s AG v BE l AC i AJ ɑ AJ n AE i AJ
ათობითი	ɑ AJ tʰ AI ɔ AK b AL i AJ tʰ AI i AJ
ათრევს	ɑ AJ tʰ AI r BA ɛ AJ v BE s AG
ათქვეფილი	ɑ AJ tʰ AI kʰ AB v BE ɛ AJ pʰ AF i AJ l AC i AJ
ათხოვებს	ɑ AJ tʰ AI x BC ɔ AK v BE ɛ AJ b AL s AG
ათჯერადი	ɑ AJ tʰ AI d AH ʒ AG ɛ AJ r BA ɑ AJ d AH i AJ
აი	ɑ AJ i AJ
აიაფებს	ɑ AJ i AJ ɑ AJ pʰ AF ɛ AJ b AL s AG
აიდა	ɑ AJ i AJ d AH ɑ AJ
აივანი	ɑ AJ i AJ v BE ɑ AJ n AE i AJ
აივნიანი	ɑ AJ i AJ v BE n AE i AJ ɑ AJ n AE i AJ
აინტერესებს	ɑ AJ i AJ n AE tʼ BB ɛ AJ r BA ɛ AJ s AG ɛ AJ b AL s AG
აინშტაინიუმი	ɑ AJ i AJ n AE ʃ AG tʼ BB ɑ AJ i AJ n AE i AJ u AK m AD i AJ
