あ	a̠ AJ
あいさつ	a̠ AJ i AJ s AG a̠ AJ t AH s AG ɨᵝ
あいしている	a̠ AJ i AJ ɕ BC i AJ t AH e̞ AJ i AJ ɾ BB ɯ̟ᵝ
あいしゃ	a̠ AJ i AJ ɕ BC a̠ AJ
あいしゃせいしん	a̠ AJ i AJ ɕ BC a̠ AJ s AG e̞ː AK ɕ BC ĩ ɴ AI
あいしゅう	a̠ AJ i AJ ɕ BC ɨᵝː
あいしょう	a̠ AJ i AJ ɕ BC o̞ː AL
あいしょうか	a̠ AJ i AJ ɕ BC o̞ː AL k AC a̠ AJ
あいしんかくら	a̠ AJ i AJ ɕ BC ĩ ŋ AI k AC a̠ AJ k AC ɯ̟ᵝ ɾ BB a̠ AJ
あいじ	a̠ AJ i AJ ʑ BC i AJ
あいじょう	a̠ AJ i AJ ʑ BC o̞ː AL
あいじん	a̠ AJ i AJ ʑ BC ĩ ɴ AI
あいす	a̠ AJ i AJ s AG ɨᵝ
あいする	a̠ AJ i AJ s AG ɨᵝ ɾ BB ɯ̟ᵝ
あいず	a̠ AJ i AJ z AG ɨᵝ
あいせき	a̠ AJ i AJ s AG e̞ AJ kʲ AC i AJ
あいそ	a̠ AJ i AJ s AG o̞ AM
あいぞう	a̠ AJ i AJ z AG o̞ː AL
あいぞうばん	a̠ AJ i AJ z AG o̞ː AL b AF ã̠ ɴ AI
あいぞめ	a̠ AJ i AJ z AG o̞ AM m AD e̞ AJ
あいたい	a̠ AJ i AJ t AH a̠ AJ i AJ
あいだ	a̠ AJ i AJ d AH a̠ AJ
あいだがら	a̠ AJ i AJ d AH a̠ AJ ɡ AC a̠ AJ ɾ BB a̠ AJ
あいち	a̠ AJ i AJ t AH ɕ BC i AJ
あいちけん	a̠ AJ i AJ t AH ɕ BC i AJ k AC ẽ̞ ɴ AI
あいちょう	a̠ AJ i AJ t AH ɕ BC o̞ː AL
あいつ	a̠ AJ i AJ t AH s AG ɨᵝ
あいつぐ	a̠ AJ i AJ t AH s AG ɨᵝ ɡ AC ɯ̟ᵝ
あいつら	a̠ AJ i AJ t AH s AG ɨᵝ ɾ BB a̠ AJ
あいて	a̠ AJ i AJ t AH e̞ AJ
あいな	a̠ AJ i AJ n AE a̠ AJ
あいにく	a̠ AJ i AJ ɲ̟ BF i AJ k AC ɯ̟ᵝ
あいのて	a̠ AJ i AJ n AE o̞ AM t AH e̞ AJ
あいふく	a̠ AJ i AJ ɸ BE ɯ̟ᵝ k AC ɯ̟ᵝ
あいぶ	a̠ AJ i AJ b AF ɯ̟ᵝ
あいぼ	a̠ AJ i AJ b AF o̞ AM
あいま	a̠ AJ i AJ m AD a̠ AJ
あいまい	a̠ AJ i AJ m AD a̠ AJ i AJ
あいよ	a̠ AJ i AJ j AB o̞ AM
あいよめ	a̠ AJ i AJ j AB o̞ AM m AD e̞ AJ
あう	a̠ AJ ɯ̟ᵝ
あうん	a̠ AJ ɯ̟̃ᵝ ɴ AI
あえぎごえ	a̠ AJ e̞ AJ ɡʲ AC i AJ ɡ AC o̞ AM e̞ AJ
あえぐ	a̠ AJ e̞ AJ ɡ AC ɯ̟ᵝ
あえる	a̠ AJ e̞ AJ ɾ BB ɯ̟ᵝ
あえん	a̠ AJ ẽ̞ ɴ AI
あお	a̠ AJ o̞ AM
あおい	a̠ AJ o̞ AM i AJ
あおいろ	a̠ AJ o̞ AM i AJ ɾ BB o̞ AM
あおうなばら	a̠ AJ o̞ AM ɯ̟ᵝ n AE a̠ AJ b AF a̠ AJ ɾ BB a̠ AJ
あおうみがめ	a̠ AJ o̞ AM ɯ̟ᵝ mʲ BG i AJ ɡ AC a̠ AJ m AD e̞ AJ
あおうめ	a̠ AJ o̞ AM ɯ̟ᵝ m AD e̞ AJ
あおかん	a̠ AJ o̞ AM k AC ã̠ ɴ AI
あおき	a̠ AJ o̞ AM kʲ AC i AJ
あおぎみる	a̠ AJ o̞ AM ɡʲ AC i AJ mʲ BG i AJ ɾ BB ɯ̟ᵝ
あおぎり	a̠ AJ o̞ AM ɡʲ AC i AJ ɾʲ BI i AJ
あおぐ	a̠ AJ o̞ AM ɡ AC ɯ̟ᵝ
あおげいとう	a̠ AJ o̞ AM ɡ AC e̞ː AK t AH o̞ː AL
あおさ	a̠ AJ o̞ AM s AG a̠ AJ
あおざめ	a̠ AJ o̞ AM z AG a̠ AJ m AD e̞ AJ
あおじゃしん	a̠ AJ o̞ AM ʑ BC a̠ AJ ɕ BC ĩ ɴ AI
あおじろい	a̠ AJ o̞ AM ʑ BC i AJ ɾ BB o̞ AM i AJ
あおすじ	a̠ AJ o̞ AM s AG ɨᵝ ʑ BC i AJ
あおせん	a̠ AJ o̞ AM s AG ẽ̞ ɴ AI
あおぞら	a̠ AJ o̞ AM z AG o̞ AM ɾ BB a̠ AJ
あおた	a̠ AJ o̞ AM t AH a̠ AJ
あおだいしょう	a̠ AJ o̞ AM d AH a̠ AJ i AJ ɕ BC o̞ː AL
あおてんじょう	a̠ AJ o̞ AM t AH ẽ̞ ɲ̟ BF d AH ʑ BC o̞ː AL
あおな	a̠ AJ o̞ AM n AE a̠ AJ
あおば	a̠ AJ o̞ AM b AF a̠ AJ
あおめ	a̠ AJ o̞ AM m AD e̞ AJ
あおもの	a̠ AJ o̞ AM m AD o̞ AM n AE o̞ AM
あおもり	a̠ AJ o̞ AM m AD o̞ AM ɾʲ BI i AJ
あおもりけん	a̠ AJ o̞ AM m AD o̞ AM ɾʲ BI i AJ k AC ẽ̞ ɴ AI
あおやま	a̠ AJ o̞ AM j AB a̠ AJ m AD a̠ AJ
あおる	a̠ AJ o̞ AM ɾ BB ɯ̟ᵝ
あか	a̠ AJ k AC a̠ AJ
あかい	a̠ AJ k AC a̠ AJ i AJ
あかうみがめ	a̠ AJ k AC a̠ AJ ɯ̟ᵝ mʲ BG i AJ ɡ AC a̠ AJ m AD e̞ AJ
あかがみ	a̠ AJ k AC a̠ AJ ɡ AC a̠ AJ mʲ BG i AJ
あかぎつね	a̠ AJ k AC a̠ AJ ɡʲ AC i AJ t AH s AG ɨᵝ n AE e̞ AJ
あかぐろい	a̠ AJ k AC a̠ AJ ɡ AC ɯ̟ᵝ ɾ BB o̞ AM i AJ
あかげざる	a̠ AJ k AC a̠ AJ ɡ AC e̞ AJ z AG a̠ AJ ɾ BB ɯ̟ᵝ
あかざ	a̠ AJ k AC a̠ AJ z AG a̠ AJ
あかし	a̠ AJ k AC a̠ AJ ɕ BC i AJ
あかしか	a̠ AJ k AC a̠ AJ ɕ BC i̥ AJ k AC a̠ AJ
あかじ	a̠ AJ k AC a̠ AJ ʑ BC i AJ
あかす	a̠ AJ k AC a̠ AJ s AG ɨᵝ
あかずきん	a̠ AJ k AC a̠ AJ z AG ɨᵝ kʲ AC ĩ ɴ AI
あかせん	a̠ AJ k AC a̠ AJ s AG ẽ̞ ɴ AI
あかたては	a̠ AJ k AC a̠ AJ t AH a̠ AJ t AH e̞ AJ h AA a̠ AJ
あかちゃける	a̠ AJ k AC a̠ AJ t AH ɕ BC a̠ AJ k AC e̞ AJ ɾ BB ɯ̟ᵝ
あかちゃん	a̠ AJ k AC a̠ AJ t AH ɕ BC ã̠ ɴ AI
あかちょうちん	a̠ AJ k AC a̠ AJ t AH ɕ BC o̞ː AL t AH ɕ BC ĩ ɴ AI
あかつき	a̠ AJ k AC a̠ AJ t AH s AG ɨ̥ᵝ kʲ AC i AJ
あかつめくさ	a̠ AJ k AC a̠ AJ t AH s AG ɨᵝ m AD e̞ AJ k AC ɯ̟̊ᵝ s AG a̠ AJ
あかてん	a̠ AJ k AC a̠ AJ t AH ẽ̞ ɴ AI
あかとんぼ	a̠ AJ k AC a̠ AJ t AH õ̞ m AD b AF o̞ AM
あかなす	a̠ AJ k AC a̠ AJ n AE a̠ AJ s AG ɨᵝ
あかぬけ	a̠ AJ k AC a̠ AJ n AE ɯ̟ᵝ k AC e̞ AJ
あかぬける	a̠ AJ k AC a̠ AJ n AE ɯ̟ᵝ k AC e̞ AJ ɾ BB ɯ̟ᵝ
あかね	a̠ AJ k AC a̠ AJ n AE e̞ AJ
あかねさす	a̠ AJ k AC a̠ AJ n AE e̞ AJ s AG a̠ AJ s AG ɨᵝ
あかねずみ	a̠ AJ k AC a̠ AJ n AE e̞ AJ z AG ɨᵝ mʲ BG i AJ
あかはい	a̠ AJ k AC a̠ AJ h AA a̠ AJ i AJ
あかはた	a̠ AJ k AC a̠ AJ h AA a̠ AJ t AH a̠ AJ
あかはな	a̠ AJ k AC a̠ AJ h AA a̠ AJ n AE a̠ AJ
あかはら	a̠ AJ k AC a̠ AJ h AA a̠ AJ ɾ BB a̠ AJ
あかはらいもり	a̠ AJ k AC a̠ AJ h AA a̠ AJ ɾ BB a̠ AJ i AJ m AD o̞ AM ɾʲ BI i AJ
あかふじ	a̠ AJ k AC a̠ AJ ɸ BE ɯ̟ᵝ ʑ BC i AJ
あかぶどうしゅ	a̠ AJ k AC a̠ AJ b AF ɯ̟ᵝ d AH o̞ː AL ɕ BC ɨᵝ
あかべこ	a̠ AJ k AC a̠ AJ b AF e̞ AJ k AC o̞ AM
あかぼうくじら	a̠ AJ k AC a̠ AJ b AF o̞ː AL k AC ɯ̟ᵝ ʑ BC i AJ ɾ BB a̠ AJ
あかぼし	a̠ AJ k AC a̠ AJ b AF o̞ AM ɕ BC i AJ
あかまつ	a̠ AJ k AC a̠ AJ m AD a̠ AJ t AH s AG ɨᵝ
あかみ	a̠ AJ k AC a̠ AJ mʲ BG i AJ
あかむつ	a̠ AJ k AC a̠ AJ m AD ɯ̟ᵝ t AH s AG ɨᵝ
あからむ	a̠ AJ k AC a̠ AJ ɾ BB a̠ AJ m AD ɯ̟ᵝ
あからめる	a̠ AJ k AC a̠ AJ ɾ BB a̠ AJ m AD e̞ AJ ɾ BB ɯ̟ᵝ
あかり	a̠ AJ k AC a̠ AJ ɾʲ BI i AJ
あかるい	a̠ AJ k AC a̠ AJ ɾ BB ɯ̟ᵝ i AJ
あかるむ	a̠ AJ k AC a̠ AJ ɾ BB ɯ̟ᵝ m AD ɯ̟ᵝ
あかれんが	a̠ AJ k AC a̠ AJ ɾ BB ẽ̞ ŋ AI ɡ AC a̠ AJ
あかん	a̠ AJ k AC ã̠ ɴ AI
あかんべえ	a̠ AJ k AC ã̠ m AD b AF e̞ː AK
あかんぼう	a̠ AJ k AC ã̠ m AD b AF o̞ː AL
あがき	a̠ AJ ɡ AC a̠ AJ kʲ AC i AJ
あがく	a̠ AJ ɡ AC a̠ AJ k AC ɯ̟ᵝ
あがめる	a̠ AJ ɡ AC a̠ AJ m AD e̞ AJ ɾ BB ɯ̟ᵝ
あがりおり	a̠ AJ ɡ AC a̠ AJ ɾʲ BI i AJ o̞ AM ɾʲ BI i AJ
あがる	a̠ AJ ɡ AC a̠ AJ ɾ BB ɯ̟ᵝ
あき	a̠ AJ kʲ AC i AJ
あきかぜ	a̠ AJ kʲ AC i AJ k AC a̠ AJ z AG e̞ AJ
あきさめ	a̠ AJ kʲ AC i AJ s AG a̠ AJ m AD e̞ AJ
あきす	a̠ AJ kʲ AC i AJ s AG ɨᵝ
あきぞら	a̠ AJ kʲ AC i AJ z AG o̞ AM ɾ BB a̠ AJ
あきた	a̠ AJ kʲ AC i AJ t AH a̠ AJ
あきたいぬ	a̠ AJ kʲ AC i̥ AJ t AH a̠ AJ i AJ n AE ɯ̟ᵝ
あきたけん	a̠ AJ kʲ AC i AJ t AH a̠ AJ k AC ẽ̞ ɴ AI
あきち	a̠ AJ kʲ AC i AJ t AH ɕ BC i AJ
あきない	a̠ AJ kʲ AC i AJ n AE a̠ AJ i AJ
あきなう	a̠ AJ kʲ AC i AJ n AE a̠ AJ ɯ̟ᵝ
あきはばら	a̠ AJ kʲ AC i AJ h AA a̠ AJ b AF a̠ AJ ɾ BB a̠ AJ
あきびん	a̠ AJ kʲ AC i AJ bʲ BH ĩ ɴ AI
あきふく	a̠ AJ kʲ AC i AJ ɸ BE ɯ̟ᵝ k AC ɯ̟ᵝ
あきや	a̠ AJ kʲ AC i AJ j AB a̠ AJ
あきらか	a̠ AJ kʲ AC i AJ ɾ BB a̠ AJ k AC a̠ AJ
あきらめる	a̠ AJ kʲ AC i AJ ɾ BB a̠ AJ m AD e̞ AJ ɾ BB ɯ̟ᵝ
あきる	a̠ AJ kʲ AC i AJ ɾ BB ɯ̟ᵝ
あきれがお	a̠ AJ kʲ AC i AJ ɾ BB e̞ AJ ɡ AC a̠ AJ o̞ AM
あぎとう	a̠ AJ ɡʲ AC i AJ t AH o̞ː AL
あく	a̠ AJ k AC ɯ̟ᵝ
あくいあくしょく	a̠ AJ k AC ɯ̟ᵝ i AJ a̠ AJ k AC ɯ̟ᵝ ɕ BC o̞ AM k AC ɯ̟ᵝ
あくいんあっか	a̠ AJ k AC ɯ̟ᵝ ĩ ɰ̃ AB a̠ AJ k̚ k AC a̠ AJ
あくえいきょう	a̠ AJ k AC ɯ̟ᵝ e̞ː AK kʲ AC o̞ː AL
あくぎゃくひどう	a̠ AJ k AC ɯ̟ᵝ ɡʲ AC a̠ AJ k AC ɯ̟ᵝ ç i AJ d AH o̞ː AL
あくしゅかい	a̠ AJ k AC ɯ̟ᵝ ɕ BC ɨᵝ k AC a̠ AJ i AJ
あくしゅけん	a̠ AJ k AC ɯ̟ᵝ ɕ BC ɨᵝ k AC ẽ̞ ɴ AI
あくしゅみ	a̠ AJ k AC ɯ̟ᵝ ɕ BC ɨᵝ mʲ BG i AJ
あくじき	a̠ AJ k AC ɯ̟ᵝ ʑ BC i AJ kʲ AC i AJ
あくじゅんかん	a̠ AJ k AC ɯ̟ᵝ ʑ BC ɨ̃ᵝ ŋ AI k AC ã̠ ɴ AI
あくせく	a̠ AJ k AC ɯ̟ᵝ s AG e̞ AJ k AC ɯ̟ᵝ
あくた	a̠ AJ k AC ɯ̟ᵝ t AH a̠ AJ
あくたい	a̠ AJ k AC ɯ̟ᵝ t AH a̠ AJ i AJ
あくとう	a̠ AJ k AC ɯ̟ᵝ t AH o̞ː AL
あくとく	a̠ AJ k AC ɯ̟̊ᵝ t AH o̞ AM k AC ɯ̟ᵝ
あくどい	a̠ AJ k AC ɯ̟ᵝ d AH o̞ AM i AJ
あくにち	a̠ AJ k AC ɯ̟ᵝ ɲ̟ BF i AJ t AH ɕ BC i AJ
あくば	a̠ AJ k AC ɯ̟ᵝ b AF a̠ AJ
あくび	a̠ AJ k AC ɯ̟ᵝ bʲ BH i AJ
あくま	a̠ AJ k AC ɯ̟ᵝ m AD a̠ AJ
あくみょうだかい	a̠ AJ k AC ɯ̟ᵝ mʲ BG o̞ː AL d AH a̠ AJ k AC a̠ AJ i AJ
あくむ	a̠ AJ k AC ɯ̟ᵝ m AD ɯ̟ᵝ
あくめ	a̠ AJ k AC ɯ̟ᵝ m AD e̞ AJ
あくもん	a̠ AJ k AC ɯ̟ᵝ m AD õ̞ ɴ AI
あくやく	a̠ AJ k AC ɯ̟ᵝ j AB a̠ AJ k AC ɯ̟ᵝ
あくりょう	a̠ AJ k AC ɯ̟ᵝ ɾʲ BI o̞ː AL
あくろ	a̠ AJ k AC ɯ̟ᵝ ɾ BB o̞ AM
あぐり	a̠ AJ ɡ AC ɯ̟ᵝ ɾʲ BI i AJ
あけ	a̠ AJ k AC e̞ AJ
あけがた	a̠ AJ k AC e̞ AJ ɡ AC a̠ AJ t AH a̠ AJ
あけくれる	a̠ AJ k AC e̞ AJ k AC ɯ̟ᵝ ɾ BB e̞ AJ ɾ BB ɯ̟ᵝ
あけぐれ	a̠ AJ k AC e̞ AJ ɡ AC ɯ̟ᵝ ɾ BB e̞ AJ
あけち	m AD e̞ː AK t AH ɕ BC i AJ
あけっぱなし	a̠ AJ k AC e̞ AJ p̚ p AF a̠ AJ n AE a̠ AJ ɕ BC i AJ
あけはなす	a̠ AJ k AC e̞ AJ h AA a̠ AJ n AE a̠ AJ s AG ɨᵝ
あけび	a̠ AJ k AC e̞ AJ bʲ BH i AJ
あけぼの	a̠ AJ k AC e̞ AJ b AF o̞ AM n AE o̞ AM
あけみ	a̠ AJ k AC e̞ AJ mʲ BG i AJ
あける	a̠ AJ k AC e̞ AJ ɾ BB ɯ̟ᵝ
あけわたし	a̠ AJ k AC e̞ AJ ɰᵝ a̠ AJ t AH a̠ AJ ɕ BC i AJ
あけわたす	a̠ AJ k AC e̞ AJ ɰᵝ a̠ AJ t AH a̠ AJ s AG ɨᵝ
あげあげ	a̠ AJ ɡ AC e̞ AJ a̠ AJ ɡ AC e̞ AJ
あげあしをとる	a̠ AJ ɡ AC e̞ AJ a̠ AJ ɕ BC i AJ o̞ AM t AH o̞ AM ɾ BB ɯ̟ᵝ
あげくのはて	a̠ AJ ɡ AC e̞ AJ k AC ɯ̟ᵝ n AE o̞ AM h AA a̠ AJ t AH e̞ AJ
あげは	a̠ AJ ɡ AC e̞ AJ h AA a̠ AJ
あげはちょう	a̠ AJ ɡ AC e̞ AJ h AA a̠ AJ t AH ɕ BC o̞ː AL
あげぽよ	a̠ AJ ɡ AC e̞ AJ p AF o̞ AM j AB o̞ AM
あげもの	a̠ AJ ɡ AC e̞ AJ m AD o̞ AM n AE o̞ AM
あげる	a̠ AJ ɡ AC e̞ AJ ɾ BB ɯ̟ᵝ
あこがれ	a̠ AJ k AC o̞ AM ɡ AC a̠ AJ ɾ BB e̞ AJ
あこがれる	a̠ AJ k AC o̞ AM ɡ AC a̠ AJ ɾ BB e̞ AJ ɾ BB ɯ̟ᵝ
あご	a̠ AJ ɡ AC o̞ AM
あごがしゃくれる	a̠ AJ ɡ AC o̞ AM ɡ AC a̠ AJ ɕ BC a̠ AJ k AC ɯ̟ᵝ ɾ BB e̞ AJ ɾ BB ɯ̟ᵝ
あごひげ	a̠ AJ ɡ AC o̞ AM ç i AJ ɡ AC e̞ AJ
あごひげあざらし	a̠ AJ ɡ AC o̞ AM ç i AJ ɡ AC e̞ AJ a̠ AJ z AG a̠ AJ ɾ BB a̠ AJ ɕ BC i AJ
あさ	a̠ AJ s AG a̠ AJ
あさい	a̠ AJ s AG a̠ AJ i AJ
あさいろ	a̠ AJ s AG a̠ AJ i AJ ɾ BB o̞ AM
あさおき	a̠ AJ s AG a̠ AJ o̞ AM kʲ AC i AJ
あさか	a̠ AJ s AG a̠ AJ k AC a̠ AJ
あさからばんまで	a̠ AJ s AG a̠ AJ k AC a̠ AJ ɾ BB a̠ AJ b AF ã̠ m AD m AD a̠ AJ d AH e̞ AJ
あさがすみ	a̠ AJ s AG a̠ AJ ɡ AC a̠ AJ s AG ɨᵝ mʲ BG i AJ
あさがた	a̠ AJ s AG a̠ AJ ɡ AC a̠ AJ t AH a̠ AJ
あさぎり	a̠ AJ s AG a̠ AJ ɡʲ AC i AJ ɾʲ BI i AJ
あさくら	a̠ AJ s AG a̠ AJ k AC ɯ̟ᵝ ɾ BB a̠ AJ
あさって	a̠ AJ s AG a̠ AJ t̚ t AH e̞ AJ
あさなわ	a̠ AJ s AG a̠ AJ n AE a̠ AJ ɰᵝ a̠ AJ
あさぬの	a̠ AJ s AG a̠ AJ n AE ɯ̟ᵝ n AE o̞ AM
あさね	a̠ AJ s AG a̠ AJ n AE e̞ AJ
あさねぼう	a̠ AJ s AG a̠ AJ n AE e̞ AJ b AF o̞ː AL
あさのかい	a̠ AJ s AG a̠ AJ n AE o̞ AM k AC a̠ AJ i AJ
あさはか	a̠ AJ s AG a̠ AJ h AA a̠ AJ k AC a̠ AJ
あさひ	a̠ AJ s AG a̠ AJ ç i̥ AJ
あさひかわ	a̠ AJ s AG a̠ AJ ç i AJ k AC a̠ AJ ɰᵝ a̠ AJ
あさひる	a̠ AJ s AG a̠ AJ ç i AJ ɾ BB ɯ̟ᵝ
あさましい	a̠ AJ s AG a̠ AJ m AD a̠ AJ ɕ BC i AJ i AJ
あさもや	a̠ AJ s AG a̠ AJ m AD o̞ AM j AB a̠ AJ
あさやけ	a̠ AJ s AG a̠ AJ j AB a̠ AJ k AC e̞ AJ
あさんかちっそ	a̠ AJ s AG ã̠ ŋ AI k AC a̠ AJ t AH ɕ BC i AJ sː BD o̞ AM
あざ	a̠ AJ z AG a̠ AJ
あざける	a̠ AJ z AG a̠ AJ k AC e̞ AJ ɾ BB ɯ̟ᵝ
あざとい	a̠ AJ z AG a̠ AJ t AH o̞ AM i AJ
あざなう	a̠ AJ z AG a̠ AJ n AE a̠ AJ ɯ̟ᵝ
あざみ	a̠ AJ z AG a̠ AJ mʲ BG i AJ
あざむく	a̠ AJ z AG a̠ AJ m AD ɯ̟ᵝ k AC ɯ̟ᵝ
あざやか	a̠ AJ z AG a̠ AJ j AB a̠ AJ k AC a̠ AJ
あざらし	a̠ AJ z AG a̠ AJ ɾ BB a̠ AJ ɕ BC i AJ
あざわらう	a̠ AJ z AG a̠ AJ ɰᵝ a̠ AJ ɾ BB a̠ AJ ɯ̟ᵝ
あし	kʲ AC a̠ AJ k AC ɯ̟ᵝ
あしあと	a̠ AJ ɕ BC i AJ a̠ AJ t AH o̞ AM
あしか	a̠ AJ ɕ BC i̥ AJ k AC a̠ AJ
あしがる	a̠ AJ ɕ BC i AJ ɡ AC a̠ AJ ɾ BB ɯ̟ᵝ
あしこ	a̠ AJ ɕ BC i AJ k AC o̞ AM
あしざま	a̠ AJ ɕ BC i AJ z AG a̠ AJ m AD a̠ AJ
あした	a̠ AJ ɕ BC i̥ AJ t AH a̠ AJ
あしたれぼし	a̠ AJ ɕ BC i AJ t AH a̠ AJ ɾ BB e̞ AJ b AF o̞ AM ɕ BC i AJ
あしのうら	a̠ AJ ɕ BC i AJ n AE o̞ AM ɯ̟ᵝ ɾ BB a̠ AJ
あしはら	a̠ AJ ɕ BC i̥ AJ h AA a̠ AJ ɾ BB a̠ AJ
あしばや	a̠ AJ ɕ BC i AJ b AF a̠ AJ j AB a̠ AJ
あしび	a̠ AJ ɕ BC i AJ bʲ BH i AJ
あしまわり	a̠ AJ ɕ BC i AJ m AD a̠ AJ ɰᵝ a̠ AJ ɾʲ BI i AJ
あしもと	a̠ AJ ɕ BC i AJ m AD o̞ AM t AH o̞ AM
あしゅ	a̠ AJ ɕ BC ɨᵝ
あしゅう	a̠ AJ ɕ BC ɨᵝː
あしゅら	a̠ AJ ɕ BC ɨᵝ ɾ BB a̠ AJ
あしゆ	a̠ AJ ɕ BC i AJ j AB ɯ̟ᵝ
あじ	a̠ AJ ʑ BC i AJ
あじあ	a̠ AJ ʑ BC i AJ a̠ AJ
あじきない	a̠ AJ ʑ BC i AJ kʲ AC i AJ n AE a̠ AJ i AJ
あじさい	a̠ AJ ʑ BC i AJ s AG a̠ AJ i AJ
あじさし	a̠ AJ ʑ BC i AJ s AG a̠ AJ ɕ BC i AJ
あじみ	a̠ AJ ʑ BC i AJ mʲ BG i AJ
あじむ	a̠ AJ ʑ BC i AJ m AD ɯ̟ᵝ
あじわい	a̠ AJ ʑ BC i AJ ɰᵝ a̠ AJ i AJ
あじわう	a̠ AJ ʑ BC i AJ ɰᵝ a̠ AJ ɯ̟ᵝ
あすなろ	a̠ AJ s AG ɨᵝ n AE a̠ AJ ɾ BB o̞ AM
あすはわがみ	a̠ AJ s AG ɨᵝ ɰᵝ a̠ AJ ɰᵝ a̠ AJ ɡ AC a̠ AJ mʲ BG i AJ
あずき	a̠ AJ z AG ɨᵝ kʲ AC i AJ
あずける	a̠ AJ z AG ɨᵝ k AC e̞ AJ ɾ BB ɯ̟ᵝ
あずさ	a̠ AJ z AG ɨᵝ s AG a̠ AJ
あずさゆみ	a̠ AJ z AG ɨᵝ s AG a̠ AJ j AB ɯ̟ᵝ mʲ BG i AJ
あずまうた	a̠ AJ z AG ɨᵝ m AD a̠ AJ ɯ̟ᵝ t AH a̠ AJ
あずまくだり	a̠ AJ z AG ɨᵝ m AD a̠ AJ k AC ɯ̟ᵝ d AH a̠ AJ ɾʲ BI i AJ
あずまごと	a̠ AJ z AG ɨᵝ m AD a̠ AJ ɡ AC o̞ AM t AH o̞ AM
あずまや	a̠ AJ z AG ɨᵝ m AD a̠ AJ j AB a̠ AJ
あせ	a̠ AJ s AG e̞ AJ
あせくさい	a̠ AJ s AG e̞ AJ k AC ɯ̟̊ᵝ s AG a̠ AJ i AJ
あせまみれ	a̠ AJ s AG e̞ AJ m AD a̠ AJ mʲ BG i AJ ɾ BB e̞ AJ
あせり	a̠ AJ s AG e̞ AJ ɾʲ BI i AJ
あせる	a̠ AJ s AG e̞ AJ ɾ BB ɯ̟ᵝ
あそこ	a̠ AJ s AG o̞ AM k AC o̞ AM
あそびごころ	a̠ AJ s AG o̞ AM bʲ BH i AJ ɡ AC o̞ AM k AC o̞ AM ɾ BB o̞ AM
あそびにん	a̠ AJ s AG o̞ AM bʲ BH i AJ ɲ̟ BF ĩ ɴ AI
あそびば	a̠ AJ s AG o̞ AM bʲ BH i AJ b AF a̠ AJ
あそぶ	a̠ AJ s AG o̞ AM b AF ɯ̟ᵝ
あそん	a̠ AJ s AG õ̞ ɴ AI
あたい	a̠ AJ t AH a̠ AJ i AJ
